################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0009128948772391E-02   6.2911266314722081E-01   2.4040017283603940E-01   1.1063105563435577E-01
         1          2   3.1457215547829570E-01   8.4018826014173387E-01   4.6031695120328725E-01   7.9250324634522973E-02
         1          3   0.0000000000000000E+00   1.3557114887012048E-01   4.1789223622530056E-02   2.8411864697746519E-02
         1          4   1.0258180850922493E-02   2.2645467872825109E-01   1.0193847747362120E-01   4.0699714488745452E-02
         1          5   4.2600875266591641E-02   3.6389422642243408E-01   1.2025172853240397E-01   4.9453613771417632E-02
         1          6   0.0000000000000000E+00   4.8962367650088275E-02   1.7974402754425297E-02   1.0235242543588130E-02
         1          7   4.2720073452435980E-03   1.1549873636841021E-01   4.2216165628048162E-02   1.8763149529057003E-02
         1          8   7.2267916532639635E-03   1.9730573676305407E-01   5.3844744748315257E-02   3.0643314573377881E-02
         1          9   0.0000000000000000E+00   8.1130540149324651E-02   1.3905638471969586E-02   1.3867812834007839E-02
         1         10   6.6186971833262945E-05   4.7918944621354553E-01   1.4690217615182569E-01   7.1282225671624649E-02
         1         11   3.0690560465315717E-03   1.7036448490505068E-01   6.3267966158941591E-02   2.7638159280835736E-02
         1         12   6.6835632417638060E-03   3.0042839726714421E-01   7.2298022204100407E-02   4.3384514425053276E-02
         1         13   4.9072719551376245E-04   9.7157240543366732E-02   2.5357533048357108E-02   1.4001912276352696E-02
         1         14   2.9386979109309562E-03   1.4492853322291896E-01   3.6528450887354728E-02   2.2661709018687203E-02
         1         15   0.0000000000000000E+00   2.8356112012329591E-02   5.7456637547002188E-03   5.2429730075277455E-03
         1         16   1.3941515822029568E-03   1.4722233412957059E-02   5.3361245234561320E-03   1.6030852578386922E-03
         1         17   1.5434339884643586E-02   8.2316731079060720E-02   4.0528790612309330E-02   8.5765945618067590E-03
         1         18   1.7589541840562900E-20   1.3112778441339536E-02   6.1014392644812183E-04   7.4617595005530848E-04
         1         19   7.9762638515019621E-02   2.1516246386874319E-01   1.4488791808764587E-01   1.8065354061102868E-02
         1         20   3.0951289584306607E-17   7.6644209328605217E-02   6.4591444824100815E-03   6.4915863590116734E-03
         1         21   1.9352729405391031E-01   2.6484025829051389E-01   2.4514608677945177E-01   9.5625829427707799E-03
         1         22   2.5964501191166905E-14   2.2215757110644718E-01   3.3633117564935783E-02   2.8543612715035270E-02
         1         23   1.5650279628547184E-01   2.2392504432407001E-01   1.9834035709951076E-01   9.2101370213712227E-03
         1         24   0.0000000000000000E+00   2.3304790365391028E-03   4.5488072252817508E-05   8.5904129789556147E-05
         1         25   1.0105952144261881E-11   3.5756864052672427E-01   8.7426920402091893E-02   6.5065645917733991E-02
         1         26   5.2958417056378965E-02   1.6354667514713886E-01   9.3982593983866214E-02   1.2672790430176547E-02
         1         27   0.0000000000000000E+00   1.7223283650109555E-02   6.8976730688385338E-04   1.0329372013291522E-03
         1         28   1.8518836758630688E-09   4.8078982720530589E-01   1.2328444853568590E-01   8.2534254174951138E-02
         1         29   2.1757500580627455E-02   2.8003614872572191E-01   8.7514829044082740E-02   3.2367058718111907E-02
         1         30   1.5979821146612629E-07   4.7280646323192199E-01   1.2064989498327727E-01   7.0721274451263472E-02
         1         31   3.4825672687837719E-02   4.2687536731443082E-01   1.3841919413525114E-01   5.0626287436185059E-02
         1         32   0.0000000000000000E+00   9.7321021668039423E-02   1.8957860627463782E-02   1.9182253261599145E-02
         1         33   6.5385816251412098E-06   4.0730149570782376E-01   1.1409929667588302E-01   5.8130685645961286E-02
         1         34   5.2253002893899482E-02   4.1587124774773720E-01   1.3753107234642445E-01   4.9146324130349854E-02
         1         35   0.0000000000000000E+00   1.3635193258219053E-01   3.4836295118821366E-02   3.0368544460522763E-02
         1         36   1.2501140664886886E-04   3.1477616600893488E-01   9.7153282307228944E-02   4.3408020144520512E-02
         1         37   1.2112804175486389E-02   4.1857581368529873E-01   9.6186190675174560E-02   4.7646241087981718E-02
         1         38   0.0000000000000000E+00   1.1044514245110446E-01   3.2928223492007185E-02   2.5298969881240169E-02
         1         39   5.4096578548389952E-04   1.9167711089902870E-01   6.2568688869663797E-02   2.8546546952156516E-02
         1         40   2.5517014564632335E-03   3.1017917134708684E-01   6.5759859210431940E-02   4.3626701545183826E-02
         1         41   0.0000000000000000E+00   7.1745380800131028E-02   1.7971053765298298E-02   1.2899328421323505E-02
         1         42   1.5487253445717577E-04   1.2269741508792956E-01   3.2697198710035152E-02   1.9308465995209117E-02
         1         43   1.2284459919913123E-03   2.0572905945303396E-01   4.3841390195667594E-02   3.0748315593492632E-02
         1         44   0.0000000000000000E+00   4.2878657108353341E-02   7.5372902729331547E-03   7.5564832260454403E-03
         1         45   4.1797421401670530E-05   8.2130555445722564E-02   1.5656485534336247E-02   1.0801118507381642E-02
         1         46   8.4614781966069034E-04   1.1473125831114546E-01   2.6001953515529093E-02   1.6411079729760171E-02
         1         47   0.0000000000000000E+00   2.3472504735606886E-02   3.1886177457132693E-03   4.3877636582009263E-03
         1         48   1.7506531240736617E-01   1.1117048950576784E+00   5.6164312863949017E-01   1.9282709439789888E-01
         1         49   4.0968629329748701E-01   1.6021571028351123E+00   7.5647588615246120E-01   2.3365447183108645E-01
         1         50   1.1991926163481178E-06   2.6211125333717911E-01   1.1318070945359697E-01   3.9598696436706216E-02
         1         51   1.7820654231540625E-02   1.9912999603816683E-01   8.1928623099710732E-02   2.5733825427488255E-02
         1         52   2.5704721700583553E-02   2.0119242911316984E-01   9.4857595724142166E-02   3.0060589559006829E-02
         1         53   3.2109460536666473E-07   6.3770753598143215E-02   1.4793756184405355E-02   1.2104977741775705E-02
         1         54   5.8970470574459463E-03   1.4208198395632832E-01   5.6881082397377089E-02   1.8133739011184126E-02
         1         55   9.9932906171375773E-03   6.7686636855758175E-01   2.0669738213825856E-01   9.7139265100951624E-02
         1         56   7.4490192792563539E-02   9.1664572653657461E-01   2.9872837657534718E-01   1.5004446716018399E-01
         1         57   7.8635134643251390E-15   2.8108863490855368E-01   3.7185332692193665E-02   3.5471441000133552E-02
         1         58   2.7988596677077904E-03   4.9952959280498233E-01   1.6565021046028777E-01   7.2860335320957384E-02
         1         59   7.0266396967554670E-02   5.9440533413896546E-01   2.1457124073636527E-01   9.5636089858448528E-02
         1         60   1.1417847699325528E-12   2.1927698484768973E-01   2.5342883359700915E-02   2.9032558226521551E-02
         1         61   5.8327110648873619E-03   3.8888440705799032E-01   1.2075778596144891E-01   5.0248175170717488E-02
         1         62   2.7601670220874102E-02   3.6116249202909212E-01   1.4161502220463748E-01   5.7794660156995435E-02
         1         63   7.7284443712239901E-11   1.4214042248404729E-01   1.9065999609662706E-02   1.9864945463932547E-02
         1         64   6.6599161173408169E-03   2.2695631119702009E-01   7.5191513647543270E-02   2.8592486583197890E-02
         1         65   1.1069482363259470E-02   2.1480344573044413E-01   8.6485979722809539E-02   3.3353939752085844E-02
         1         66   2.4666122224337577E-09   7.6098131051932902E-02   1.3586780728415718E-02   1.2573706392257944E-02
         1         67   1.4328776128157872E-03   1.0888436972490867E-01   4.0189205913541831E-02   1.3727498618808629E-02
         1         68   1.5264491024703504E-03   1.1948241143672589E-01   4.4816189813479172E-02   1.7068116799120112E-02
         1         69   7.4988750094404579E-11   4.3530439969587581E-02   8.1136492703726346E-03   7.6516136649404549E-03
         1         70   0.0000000000000000E+00   4.4505817418531227E-03   3.6562864797054192E-04   4.4524029164102601E-04
