################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.2754929199750242E-01 a         1     0     1     1     1
 -3.5792731033956993E-01 a         2     0     1     1     2
  3.5909505882691001E-01 a         3     0     1     1     3
 -2.4733694179822097E-01 a         4     0     1     1     4
  1.4410888928634093E-02 a         5     0     1     1     5
 -7.7068189542282839E-01 a         6     0     1     1     6
 -1.4226204460924394E+00 a         7     0     1     1     7
  1.5949183496069011E-01 a         8     0     1     1     8
 -1.8450416741799340E+00 a         9     0     1     1     9
 -7.3262598717872135E-02 a        10     0     1     1    10
 -3.8882360997262333E-01 a        11     0     1     1    11
 -5.0917072407185593E-01 a        12     0     1     1    12
 -1.0204296202494174E+00 a        13     0     1     1    13
 -3.7086017243134584E-01 a        14     0     1     1    14
 -1.5653535817680002E+00 a        15     0     1     1    15
  8.6399470751125640E-02 a        16     0     1     1    16
 -2.3643793917602240E-01 a        17     0     1     1    17
  6.4552292700366043E-01 a        18     0     1     1    18
 -9.3033658767306252E-02 a        19     0     1     1    19
  2.2087141899530245E+00 a        20     0     1     1    20
  1.6881148400931822E+00 a        21     0     1     1    21
 -2.9336585943841298E-01 a        22     0     1     1    22
 -4.5467436687888479E-01 a        23     0     2     1     1
 -6.7921345028704350E-01 a        24     0     2     1     2
 -1.4726386548375481E-01 a        25     0     2     1     3
  3.0885435402490491E-01 a        26     0     2     1     4
  1.0357026922010391E+00 a        27     0     2     1     5
  5.6994331730550563E-01 a        28     0     2     1     6
  4.2424136274670204E-01 a        29     0     2     1     7
 -3.2126870205164737E+00 a        30     0     2     1     8
  1.4492678694342529E+00 a        31     0     2     1     9
  1.2702775408719340E+00 a        32     0     2     1    10
  3.3113988666319016E-01 a        33     0     2     1    11
  3.7069944041163422E-01 a        34     0     2     1    12
